"Release Date","Type","Race","Hatchery","Total # of Fish Released","# of CWT Fish Released","Loss Threshold (0.25% of CWT Released)","Confirmed Loss","Percent of Threshold","First Loss","Last Loss"
"2024-11-20","Yearling","Late-Fall","Coleman NFH","698,892","698,892",1747.23,1051.21,"60.2%","2024-11-29","2025-04-05"
"2024-12-13","Yearling","Late-Fall","Coleman NFH","77,355","77,355",193.39,72.52,"37.5%","2024-12-25","2025-01-12"
"2025-01-17","Yearling","Late-Fall","Coleman NFH","74,425","74,425",186.06,43.34,"23.3%","2025-01-30","2025-04-04"
