"sample_time","facility","species","adipose_clip","count_duration_minutes","pumping_duration_minutes","sample_fraction","study_type","length","nfish","expanded_salvage","loss","length_row_id","x14_day_omri"
"2024-12-18 15:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",234,1,4,17.32,1928980,-9391
"2025-02-04 02:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",260,1,4,2.72,1932594,-4557
"2025-02-05 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",299,1,2,8.66,1932637,-4738
"2025-02-06 11:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",285,1,4,17.32,1932807,-4940
"2025-02-06 15:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",227,1,1,4.33,1932790,-4940
"2025-02-07 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",216,1,4,2.72,1933021,-5130
"2025-02-07 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",253,1,4,2.72,1933038,-5130
"2025-02-08 06:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",260,1,4,2.72,1933131,-5331
"2025-02-08 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",250,1,4,2.72,1933123,-5331
"2025-02-14 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",262,1,4,2.72,1933546,-5531
"2025-02-15 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",263,1,4,2.72,1933569,-5533
"2025-02-16 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",227,1,4,2.72,1933660,-5528
"2025-02-16 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",268,1,4,2.72,1933682,-5528
"2025-02-16 23:59:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",224,1,4,2.72,1933630,-5528
"2025-02-17 06:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",255,1,4,2.72,1933712,-5452
"2025-02-17 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",252,1,4,2.72,1933788,-5452
"2025-02-17 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",295,1,4,2.72,1933789,-5452
"2025-02-17 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",240,1,4,17.32,1933476,-5452
"2025-02-17 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",223,1,4,2.72,1933790,-5452
"2025-02-18 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",280,1,4,2.72,1933877,-5359
"2025-02-18 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",238,1,4,2.72,1933853,-5359
"2025-02-19 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",264,1,4,2.72,1934021,-5274
"2025-02-20 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",223,1,4,17.32,1934030,-5185
"2025-02-22 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",261,1,4,2.72,1934261,-5045
"2025-02-22 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",216,1,4,2.72,1934340,-5045
"2025-02-22 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",312,1,4,2.72,1934344,-5045
"2025-02-24 05:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",236,1,4,17.32,1934435,-4978
"2025-02-24 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",300,1,4,2.72,1934519,-4978
"2025-02-24 22:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",338,1,4,2.72,1934468,-4978
"2025-02-26 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",240,1,4,2.72,1934741,-4979
"2025-02-27 23:59:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",223,1,4,2.72,1934816,-4987
"2025-02-28 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,720,0.04,"Normal count",278,1,24,16.32,1934900,-4991
"2025-03-01 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",298,1,4,2.72,1934989,-4992
"2025-03-01 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",263,1,4,2.72,1934973,-4992
"2025-03-01 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",261,1,4,2.72,1934990,-4992
"2025-03-02 11:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",299,1,4,17.32,1934833,-4989
"2025-03-02 23:59:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",253,1,4,2.72,1935095,-4989
"2025-03-06 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",270,1,4,2.72,1935439,-4989
"2025-03-09 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",305,1,4,2.72,1935603,-4953
"2025-03-09 22:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",225,1,4,2.72,1935623,-4953
"2025-03-10 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",261,1,4,2.72,1935697,-4958
"2025-03-11 09:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",244,1,1,0.68,1935778,-4958
"2025-03-11 10:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",236,1,2,8.66,1935747,-4958
"2025-03-11 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",285,1,4,2.72,1935775,-4958
"2025-03-14 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",290,1,4,2.72,1936027,-4958
"2025-03-16 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",215,1,4,2.72,1936084,-4949
"2025-03-16 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",275,1,4,2.72,1936116,-4949
"2025-03-17 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",231,1,4,2.72,1936167,-4946
"2025-03-17 20:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",287,1,4,2.72,1936185,-4946
"2025-03-18 08:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",330,1,2,8.66,1936201,-4953
"2025-03-18 11:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",299,1,4,17.32,1936198,-4953
"2025-03-20 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",257,1,4,17.32,1936390,-4987
"2025-03-20 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",251,1,4,2.72,1936405,-4987
"2025-03-20 17:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",232,1,4,17.32,1936389,-4987
"2025-03-20 22:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",260,1,4,2.72,1936404,-4987
"2025-03-21 14:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",228,1,2,8.66,1936486,-4891
"2025-03-21 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",293,1,4,2.72,1936533,-4891
"2025-03-21 22:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",250,1,4,2.72,1936511,-4891
"2025-03-22 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",332,1,4,17.32,1936483,-4777
"2025-03-22 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",280,1,4,2.72,1936637,-4777
"2025-03-23 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",301,1,4,2.72,1936717,-4668
"2025-03-23 23:59:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",244,1,4,2.72,1936662,-4668
"2025-03-25 04:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",284,1,4,2.72,1936892,-4400
"2025-03-25 06:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",250,1,4,2.72,1936913,-4400
"2025-03-25 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",250,1,4,2.72,1936910,-4400
"2025-03-26 20:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",274,1,4,2.72,1937151,-4295
"2025-03-27 06:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",275,1,4,2.72,1937298,-4179
"2025-03-28 09:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",325,1,4,17.32,1937363,-4071
"2025-03-28 17:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",324,1,1,4.33,1937362,-4071
"2025-03-29 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",258,1,4,2.72,1937558,-3956
"2025-03-30 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",301,1,4,2.72,1937676,-3853
"2025-03-31 04:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",303,1,4,2.72,1937802,-3744
"2025-03-31 04:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",318,1,4,2.72,1937803,-3744
"2025-03-31 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",272,1,4,2.72,1937800,-3744
"2025-04-01 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",205,1,4,2.72,1937934,-3636
"2025-04-02 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",253,1,4,2.72,1938128,-3525
"2025-04-02 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",241,1,4,2.72,1938126,-3525
"2025-04-03 06:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",222,1,4,2.72,1938215,-3483
"2025-04-03 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",234,1,4,2.72,1938162,-3483
"2025-04-04 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",262,1,4,18.32,1938310,-3591
"2025-04-05 09:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",286,1,2,9.66,1938351,-3695
"2025-04-05 15:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",220,1,4,18.32,1938257,-3695
"2025-04-06 16:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",210,1,4,2.72,1938494,-3800
"2025-04-08 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",268,1,4,2.72,1938780,-4068
"2025-04-08 20:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",321,1,4,2.72,1938778,-4068
