"Release Date","Type","Race","Hatchery","Total # of Fish Released","# of CWT Fish Released","Loss Threshold (0.25% of CWT Released)","Confirmed Loss","Percent of Threshold","First Loss","Last Loss"
"2025-03-14","Young-of-year","Spring","Feather River Hatchery","961,411","476,741",1191.85,16.56,"1.4%","2025-04-06","2025-04-06"
"2025-03-21","Young-of-year","Spring","Feather River Hatchery","962,741","475,831",1189.58,110.13,"9.3%","2025-03-31","2025-05-02"
"2025-04-09","Young-of-year","Spring","Feather River Hatchery","1,012,800","504,304",1260.76,0,"0%","",""
"2025-04-23","Young-of-year","Fall","Feather River Hatchery","1,505,055","376,122",940.31,0,"0%","",""
"2025-04-15","Young-of-year","Fall","Coleman NFH","2,122,103","695,170",1737.93,0,"0%","",""
"2025-04-28","Young-of-year","Fall","Coleman NFH","1,472,338","368,085",920.21,0,"0%","",""
