survey	date	mean.turb.fnu	mean.sd.m	n.sta
sls1	2025-12-29	19.1	0.819	11
sls2	2026-01-14	12.3	0.764	12
sls3	2026-01-26	6.4	1.288	12
sls4	2026-02-11	5.7	1.498	12
sls5	2026-02-23	12.5	0.848	12
sls6	2026-03-09	11	1.124	11
tw1	2026-03-17	5	1.341	11
tw2	2026-04-01	4.6	1.568	11
tw3	2026-04-14	3.4	1.555	11
tw4	2026-04-28	4.2	1.647	11
tw5	2026-05-12	3.6	1.432	11
tw6	2026-05-27	2.7	1.701	11
tw7	2026-06-09	2.5	1.673	11
