Year,Month,Loss
2010,Dec,3.01
2010,Jan,43.62
2010,Feb,172.28
2010,Mar,741.85
2010,Apr,3.88
2011,Dec,30.94
2011,Jan,35.80
2011,Feb,392.24
2011,Mar,1009.40
2012,Feb,203.85
2012,Mar,678.38
2012,Apr,17.88
2013,Dec,4.93
2013,Mar,193.27
2014,Mar,48.45
2016,Jan,8.59
2016,Feb,2.88
2018,Mar,88.54
2018,Apr,8.73
2019,Jan,8.64
2019,Feb,108.37
2019,Mar,56.69
2019,Apr,38.66
