Sample Time, Facility, Species, Adipose Clip, LAD Race, DNA Race, CWT Race, CWT tagcode, CWT Hatch, CWT Release Type, CWT Release Start, CWT Release End, CWT Release Span Days, CWT Release Location, CWT Release Information Source, Days from Release End to Sample Time, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Expanded Salvage, Loss, DNA Sample ID, Genetic Probability, Length Row ID,14-day OMRI
1/11/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,120,0.12,Normal count,132,1,8,34.24,,,866022,
1/12/1993 5:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,125,1,18,80.15,,,42103,
1/12/1993 17:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,120,0.12,Normal count,152,1,8,35.34,,,1147939,
1/12/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,165,1,12,52.94,,,708949,
1/14/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,125,1,24,103.62,,,255683,
1/14/1993 21:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,124,1,24,106.72,,,156941,
1/15/1993 0:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,11,10,120,0.08,Normal count,160,1,12,53.15,,,796563,
1/15/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,60,0.08,Normal count,119,1,12,51.88,,,578499,
1/15/1993 7:00,SWP,Chinook Salmon,Unclipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,11,10,120,0.08,Normal count,156,1,12,51.01,,,1914995,
1/15/1993 9:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,11,10,120,0.08,Normal count,166,1,12,53.22,,,1003374,
1/15/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,11,5,240,0.02,Normal count,168,1,48,213.97,,,1914994,
1/16/1993 3:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,131,1,24,103.05,,,127815,
1/16/1993 11:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,12,5,240,0.02,Normal count,147,1,48,205.53,,,491967,
1/16/1993 18:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,300,0.03,Normal count,139,1,30,129,,,42673,
1/17/1993 0:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,13,5,300,0.02,Normal count,164,1,60,266.44,,,163009,
1/17/1993 3:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,13,5,120,0.04,Normal count,168,1,24,100.51,,,1166192,
1/17/1993 7:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,137,1,24,101.28,,,41287,
1/17/1993 7:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,163,1,24,101.28,,,1027457,
1/17/1993 11:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,13,5,240,0.02,Normal count,136,1,48,202.26,,,515219,
1/17/1993 19:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,13,10,120,0.08,Normal count,162,1,12,53.7,,,793109,
1/17/1993 19:00,SWP,Chinook Salmon,Clipped,LateFall,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,13,10,120,0.08,Normal count,177,1,12,53.7,,,282193,
1/18/1993 11:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,113,1,18,77.92,,,965881,
1/18/1993 11:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,14,10,180,0.06,Normal count,155,1,18,77.92,,,1114375,
1/18/1993 15:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052862,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,14,10,120,0.08,Normal count,131,1,12,52.56,,,30510,
