Survey	No	Date	AvgSecchi.cm
SLS	12	2024-12-02	104
SLS	13	2024-12-16	103.75
SLS	1	2024-12-30	88
SLS	2	2025-01-13	64.5
SLS	3	2025-01-27	103.5
SLS	4	2025-02-10	90.08
SLS	5	2025-02-25	92
SLS	6	2025-03-10	131
20mm	1	2025-03-17	106
20mm	2	2025-04-01	100.08
20mm	3	2025-04-14	116
20mm	4	2025-04-28	131
20mm	5	2025-05-12	150
20mm	6	2025-05-27	141
20mm	7	2025-06-09	149
20mm	8	2025-06-23	133
